"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Crystal Systems","Space Groups","IMA Mineral Symbol","Paragenetic Modes"
"Therasiaite","Therasiaite","(NH<sub>4</sub>)<sub>3</sub>KNa<sub>2</sub>Fe<sup>2+</sup>Fe<sup>3+</sup>(SO<sub>4</sub>)<sub>3</sub>Cl<sub>5</sub>","N H K Na Fe S O Cl","2013","Approved","Not in a structural group"," ","monoclinic","Cc","The","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Thérèsemagnanite","Theresemagnanite","NaCo<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>Cl·6H<sub>2</sub>O","Na Co S O H Cl","1991","Approved,Redefined","Ktenasite","spangolite","hexagonal","","Tmg","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Thermaerogenite","Thermaerogenite","CuAl<sub>2</sub>O<sub>4</sub>","Cu Al O","2018","Approved","Spinel"," ","cubic","Fd-3m","Tag","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Thermessaite","Thermessaite","K<sub>2</sub>AlF<sub>3</sub>(SO<sub>4</sub>)","K Al F S O","2007","Approved","Thermessaite"," ","orthorhombic","Pbcn","Tms","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals"
"Thermessaite-(NH<sub>4</sub>)","Thermessaite-(NH4)","(NH<sub>4</sub>)<sub>2</sub>AlF<sub>3</sub>(SO<sub>4</sub>)","N H Al F S O","2011","Approved","Thermessaite"," ","orthorhombic","Pbcn","Tms-NH4","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Thermonatrite","Thermonatrite","Na<sub>2</sub>(CO<sub>3</sub>)·H<sub>2</sub>O","Na C O H","1845","Approved,Grandfathered"," "," ","orthorhombic","Pca2_1|P2_1ab","Tnat","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering"
"Thomasclarkite-(Y)","Thomasclarkite-(Y)","NaY(HCO<sub>3</sub>)(OH)<sub>3</sub>·4H<sub>2</sub>O","Na Y H C O","1997","Approved"," "," ","monoclinic","P2","Tcl-Y","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Thometzekite","Thometzekite","PbCu<sup>2+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O","Pb Cu As O H","1982","Approved","Natrochalcite","tsumcorite","monoclinic","C2/m","Tmz","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Thomsenolite","Thomsenolite","NaCaAlF<sub>6</sub>·H<sub>2</sub>O","Na Ca Al F H O","1868","Approved,Grandfathered"," "," ","monoclinic","P2_1/c","Tse","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
"Thomsonite-Ca","Thomsonite-Ca","NaCa<sub>2</sub>(Al<sub>5</sub>Si<sub>5</sub>)O<sub>20</sub>·6H<sub>2</sub>O","Na Ca Al Si O H","1820","Approved,Renamed","Thomsonite","zeolite-thomsonite series","orthorhombic","Pbmn","Thm-Ca","Abiotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 4a: Earth's earliest continental crust, PM24 - Authigenic minerals in terrestrial sediments, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM40 - Regional metamorphism"
"Thomsonite-Sr","Thomsonite-Sr","NaSr<sub>2</sub>(Al<sub>5</sub>Si<sub>5</sub>)O<sub>20</sub>·6-7H<sub>2</sub>O","Na Sr Al Si O H","2000","Approved","Thomsonite","zeolite-thomsonite series","orthorhombic","Pcnn","Thm-Sr","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
"Thorasphite","Thorasphite","Th<sub>2</sub>H(PO<sub>4</sub>,AsO<sub>4</sub>)<sub>3</sub>·6H<sub>2</sub>O","Th H P O As","2018","Approved","Not in a structural group"," ","orthorhombic","Pbcn","Tp","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Thorbastnäsite","Thorbastnasite","ThCa(CO<sub>3</sub>)<sub>2</sub>F<sub>2</sub>·3H<sub>2</sub>O","Th Ca C O F H","1965","Approved","Bastnäsite","Bastnäsite","hexagonal","P-62c","Tbsn","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Thoreaulite","Thoreaulite","Sn<sup>2+</sup>Ta<sub>2</sub>O<sub>6</sub>","Sn Ta O","1933","Approved,Grandfathered"," "," ","monoclinic","Cc|C2/c","Tre","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Thorianite","Thorianite","ThO<sub>2</sub>","Th O","1904","Approved,Grandfathered","Fluorite","uraninite","cubic","Fm3m","Tho","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites"
"Thorikosite","Thorikosite","Pb<sub>3</sub>O<sub>3</sub>Sb<sup>3+</sup>(OH)Cl<sub>2</sub>","Pb O Sb H Cl","1984","Approved"," "," ","tetragonal","I4/mmm","Thk","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
"Thorite","Thorite","Th(SiO<sub>4</sub>)","Th Si O","1817","Approved,Grandfathered","Zircon","zircon","tetragonal","I4_1/amd","Thr","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Thornasite","Thornasite","Na<sub>12</sub>Th<sub>3</sub>(Si<sub>8</sub>O<sub>19</sub>)<sub>4</sub>·18H<sub>2</sub>O","Na Th Si O H","1985","Approved"," "," ","hexagonal","R-3c","Tna","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Thorneite","Thorneite","Pb<sub>6</sub>(Te<sub>2</sub>O<sub>10</sub>)(CO<sub>3</sub>)Cl<sub>2</sub>(H<sub>2</sub>O)","Pb Te O C Cl H","2009","Approved","Not in a structural group"," ","monoclinic","C2/c","Tne","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Thorosteenstrupine","Thorosteenstrupine","(Ca,Th,Mn)<sub>3</sub>Si<sub>4</sub>O<sub>11</sub>F·6H<sub>2</sub>O","Ca Th Mn Si O F H","1962","Approved"," "," ","","","Tssp","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Thortveitite","Thortveitite","Sc<sub>2</sub>Si<sub>2</sub>O<sub>7</sub>","Sc Si O","1911","Approved,Grandfathered","Thortveitite","thortveitite","monoclinic","C2/m","Tvt","Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Thorutite","Thorutite","(Th,U,Ca)Ti<sub>2</sub>(O,OH)<sub>6</sub>","Th U Ca Ti O H","1958","Approved,Grandfathered","Brannerite"," ","monoclinic","C2/m","Thu","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Threadgoldite","Threadgoldite","Al(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)·8H<sub>2</sub>O","Al U O P H","1978","Approved"," ","autunite","monoclinic","C2/c","Tdg","Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Thunderbayite","Thunderbayite","TlAg<sub>3</sub>Au<sub>3</sub>Sb<sub>7</sub>S<sub>6</sub>","Tl Ag Au Sb S","2020","Approved"," "," ","triclinic","P1","Tby","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Tianhongqiite","Tianhongqiite","CrTiO<sub>3</sub>(OH)","Cr Ti O H","2022","Approved,Pending publication","Tivanite"," ","monoclinic","P2_1/n","Thq","Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
"Tiberiobardiite","Tiberiobardiite","{Cu<sub>9</sub>Al[SiO<sub>3</sub>(OH)]<sub>2</sub>(OH)<sub>12</sub>(H<sub>2</sub>O)<sub>6</sub>}(SO<sub>4</sub>)<sub>1.5</sub>·10H<sub>2</sub>O","Cu Al Si O H S","2016","Approved","Chalcophyllite"," ","hexagonal","R-3","Tbd","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tiemannite","Tiemannite","HgSe","Hg Se","1855","Approved,Grandfathered","Sphalerite","sphalerite","cubic","F-43m","Tmn","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Tienshanite","Tienshanite","K(Na,K,<span style=""border: 1px solid #333; font-size:7px;"">   </span>)<sub>9</sub>Ca<sub>2</sub>Ba<sub>6</sub>Mn<sup>2+</sup><sub>6</sub>Ti<sub>6</sub>B<sub>12</sub>Si<sub>36</sub>O<sub>114</sub>(O,OH,F)<sub>11</sub>","K Na Ca Ba Mn Ti B Si O H F","1967","Approved"," "," ","hexagonal","P6/m","Tsh","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Tiettaite","Tiettaite","K<sub>4</sub>Na<sub>12</sub>Fe<sup>3+</sup><sub>2</sub>Si<sub>16</sub>O<sub>41</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O","K Na Fe Si O H","1991","Approved,Redefined"," "," ","orthorhombic","Cmcm","Tie","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Tikhonenkovite","Tikhonenkovite","SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O","Sr Al F O H","1964","Approved","Tikhonenkovite"," ","monoclinic","P2_1/c","Tik","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tilasite","Tilasite","CaMg(AsO<sub>4</sub>)F","Ca Mg As O F","1895","Approved,Grandfathered","Titanite","durangite","monoclinic","C2/c|Cc","Til","Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM20 - Acidic volcanic rocks, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Tilkerodeite","Tilkerodeite","Pd<sub>2</sub>HgSe<sub>3</sub>","Pd Hg Se","2020","Approved,Pending publication","Jacutingaite"," ","hexagonal","P-3m1","Tkr","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Tilleyite","Tilleyite","Ca<sub>5</sub>Si<sub>2</sub>O<sub>7</sub>(CO<sub>3</sub>)<sub>2</sub>","Ca Si O C","1933","Approved,Grandfathered"," "," ","monoclinic","P2_1/a","Tly","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Tillmannsite","Tillmannsite","HgAg<sub>3</sub>(VO<sub>4</sub>)","Hg Ag V O","2001","Approved"," "," ","tetragonal","I-4","Till","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Timroseite","Timroseite","Pb<sub>2</sub>Cu<sub>5</sub>(TeO<sub>6</sub>)<sub>2</sub>(OH)<sub>2</sub>","Pb Cu Te O H","2009","Approved","Not in a structural group"," ","orthorhombic","P2_1nm","Tim","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tin","Tin","Sn","Sn","1844","Approved,Grandfathered"," "," ","tetragonal|cubic","I4_1/amd|Fm3m","Sn","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
"Tinaksite","Tinaksite","K<sub>2</sub>NaCa<sub>2</sub>TiSi<sub>7</sub>O<sub>18</sub>(OH)O","K Na Ca Ti Si O H","1965","Approved"," "," ","triclinic","P-1","Tnk","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Tincalconite","Tincalconite","Na<sub>2</sub>B<sub>4</sub>O<sub>5</sub>(OH)<sub>4</sub>·3H<sub>2</sub>O","Na B O H","1878","Approved,Grandfathered"," "," ","hexagonal","R32","Tnc","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
"Tinnunculite","Tinnunculite","C<sub>5</sub>H<sub>4</sub>N<sub>4</sub>O<sub>3</sub>·2H<sub>2</sub>O","C H N O","2015","Approved"," "," ","monoclinic","P2_1/c","Tnn","Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, PM52 - Guano- and urine-derived minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Tinsleyite","Tinsleyite","KAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)·2H<sub>2</sub>O","K Al P O H","1983","Approved","Leucophosphite","leucophosphite","monoclinic","P2_1/n","Tin","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals, PM53 - Other minerals with taphonomic origins"
"Tinticite","Tinticite","Fe<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·3H<sub>2</sub>O","Fe P O H","1946","Approved,Grandfathered"," "," ","triclinic","P-1","Ttc","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals"
"Tintinaite","Tintinaite","Pb<sub>10</sub>Cu<sub>2</sub>Sb<sub>16</sub>S<sub>35</sub>","Pb Cu Sb S","1967","Approved","Kobellite","kobellite","monoclinic","","Tti","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits"
"Tinzenite","Tinzenite","Ca<sub>2</sub>Mn<sup>2+</sup><sub>4</sub>Al<sub>4</sub>[B<sub>2</sub>Si<sub>8</sub>O<sub>30</sub>](OH)<sub>2</sub>","Ca Mn Al B Si O H","1968","Approved,Redefined","Axinite","axinite","triclinic","P-1","Tnz","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Tiptopite","Tiptopite","K<sub>2</sub>(Li,Na,Ca)<sub>6</sub>(Be<sub>6</sub>P<sub>6</sub>)O<sub>24</sub>(OH)<sub>2</sub>·1.3H<sub>2</sub>O","K Li Na Ca Be P O H","1983","Approved","Cancrinite, Cancrinite-sodalite","cancrinite-sodalite-cancrinite subgroup","hexagonal","P6_3","Tpt","Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tiragalloite","Tiragalloite","Mn<sup>2+</sup><sub>4</sub>As<sup>5+</sup>Si<sub>3</sub>O<sub>12</sub>(OH)","Mn As Si O H","1979","Approved"," "," ","monoclinic","P2_1/n","Tga","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
"Tischendorfite","Tischendorfite","Pd<sub>8</sub>Hg<sub>3</sub>Se<sub>9</sub>","Pd Hg Se","2001","Approved"," "," ","orthorhombic","","Tdf","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Tisinalite","Tisinalite","Na<sub>3</sub>Mn<sup>2+</sup>TiSi<sub>6</sub>O<sub>15</sub>(OH)<sub>3</sub>","Na Mn Ti Si O H","1979","Approved","Lovozerite-Zirsinalite–Lovozerite","lovozerite","hexagonal","P-3","Tis","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Tissintite","Tissintite","(Ca,Na,<span style=""border: 1px solid #333; font-size:7px;"">   </span>)AlSi<sub>2</sub>O<sub>6</sub>","Ca Na Al Si O","2013","Approved","Pyroxene"," ","monoclinic","C2/c","Tss","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
"Tistarite","Tistarite","Ti<sub>2</sub>O<sub>3</sub>","Ti O","2008","Approved","Corundum"," ","hexagonal","R-3c","Tta","Abiotic, Primary, Secondary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism"
"Titanite","Titanite","CaTi(SiO<sub>4</sub>)O","Ca Ti Si O","1795","Approved","Titanite","titanite","monoclinic","C2/c|A2/a, P2_1/a, P2_1","Ttn","Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM24 - Authigenic minerals in terrestrial sediments, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Titanium","Titanium","Ti","Ti","2010","Approved"," "," ","hexagonal|cubic","P6_3/mmc|Im3m","Ti","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM11 - Volcanic fumarole minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
"Titanoholtite","Titanoholtite","(Ti<sub>0.75</sub><span style=""border: 1px solid #333; font-size:7px;"">   </span><sub>0.25</sub>)Al<sub>6</sub>BSi<sub>3</sub>O<sub>18</sub>","Ti Al B Si O","2012","Approved","Dumortierite"," ","orthorhombic","Pnma","Thlt","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Titanomaghemite","Titanomaghemite","(Ti<sub>0.5</sub><span style=""border: 1px solid #333; font-size:7px;"">   </span><sub>0.5</sub>)Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>","Ti Fe O","1953","Approved,Redefined","Spinel"," ","cubic","P4_332","Tmgh","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Titanowodginite","Titanowodginite","Mn<sup>2+</sup>TiTa<sub>2</sub>O<sub>8</sub>","Mn Ti Ta O","1984","Approved","Wodginite","wodginite","monoclinic","","Twdg","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Titantaramellite","Titantaramellite","Ba<sub>4</sub>(Ti,Fe<sup>3+</sup>,Mg)<sub>4</sub>(O,OH)<sub>2</sub>[B<sub>2</sub>Si<sub>8</sub>O<sub>27</sub>]Cl<sub>x</sub>","Ba Ti Fe Mg O H B Si Cl","1977","Approved"," ","taramellite","orthorhombic","Pmmn","Ttmel","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Tivanite","Tivanite","TiV<sup>3+</sup>O<sub>3</sub>(OH)","Ti V O H","1980","Approved","Tivanite"," ","monoclinic","P2_1/c","Tiv","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tlalocite","Tlalocite","Cu<sub>10</sub>Zn<sub>6</sub>(Te<sup>4+</sup>O<sub>3</sub>)(Te<sup>6+</sup>O<sub>4</sub>)<sub>2</sub>Cl(OH)<sub>25</sub>·27H<sub>2</sub>O","Cu Zn Te O Cl H","1974","Approved"," "," ","","","Tla","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tlapallite","Tlapallite","H<sub>6</sub>(Ca,Pb)<sub>2</sub>(Cu,Zn)<sub>3</sub>O<sub>2</sub>(SO<sub>4</sub>)(Te<sup>4+</sup>O<sub>3</sub>)<sub>4</sub>(Te<sup>6+</sup>O<sub>4</sub>)","H Ca Pb Cu Zn O S Te","1977","Approved"," "," ","monoclinic","","Tpl","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tobelite","Tobelite","(NH<sub>4</sub>)Al<sub>2</sub>(Si<sub>3</sub>Al)O<sub>10</sub>(OH)<sub>2</sub>","N H Al Si O","1981","Approved","Mica","mica-true micas","monoclinic","C2/c","Tbl","Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations"
"Tobermorite","Tobermorite","Ca<sub>4</sub>Si<sub>6</sub>O<sub>17</sub>(H<sub>2</sub>O)<sub>2</sub>·(Ca·3H<sub>2</sub>O)","Ca Si O H","1882","Approved,Redefined","Tobermorite"," ","triclinic|monoclinic, unknown","C-1|Bm","Tbm","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Tochilinite","Tochilinite","6(Fe<sub>0.9</sub>S)·5[(Mg,Fe)(OH)<sub>2</sub>]","Fe S Mg O H","1971","Approved","Tochilinite"," ","triclinic","C1|P1","Thi","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, PM16 - Low-T aqueous alteration"
"Tocornalite","Tocornalite","(Ag,Hg)I (?)","Ag Hg I","1867","Approved,Questionable mineral species"," "," ","","","Toc","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Todorokite","Todorokite","(Na,Ca,K,Ba,Sr)<sub>1-x</sub>(Mn,Mg,Al)<sub>6</sub>O<sub>12</sub>·3-4H<sub>2</sub>O","Na Ca K Ba Sr Mn Mg Al O H","1934","Approved"," ","coronadite","monoclinic","P2/m","Tdr","Abiotic, Biotic, Primary, Secondary; Stage 5: Initiation of plate tectonics, PM42 - Sea-floor Mn nodules, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
"Tokkoite","Tokkoite","K<sub>2</sub>Ca<sub>4</sub>Si<sub>7</sub>O<sub>18</sub>(OH)F","K Ca Si O H F","1985","Approved"," "," ","triclinic","P-1","Tok","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Tokyoite","Tokyoite","Ba<sub>2</sub>Mn<sup>3+</sup>(VO<sub>4</sub>)<sub>2</sub>OH","Ba Mn V O H","2003","Approved","Brackebuschite","brackebuschite","monoclinic","P2_1/m","Tky","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tolbachite","Tolbachite","CuCl<sub>2</sub>","Cu Cl","1982","Approved"," "," ","monoclinic","C2/m","Tbc","Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering"
"Toledoite","Toledoite","TiFeSi","Ti Fe Si","2022","Approved,Pending publication"," "," ","orthorhombic","Ima2","Tld","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks"
"Tolovkite","Tolovkite","IrSbS","Ir Sb S","1980","Approved","Cobaltite","cobaltite","orthorhombic","Pca2_1","Tol","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
"Tolstykhite","Tolstykhite","Au<sub>3</sub>S<sub>4</sub>Te<sub>6</sub>","Au S Te","2022","Approved,Pending publication","Maletoyvayamite"," ","triclinic","P-1","Tls","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Tomamaeite","Tomamaeite","Cu<sub>3</sub>Pt","Cu Pt","2020","Approved,Pending publication","Perovskite, Auricupride"," ","cubic","Pm-3m","Tmm","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks"
"Tombstoneite","Tombstoneite","(Ca<sub>0.5</sub>Pb<sub>0.5</sub>)Pb<sub>3</sub>Cu<sup>2+</sup><sub>6</sub>Te<sup>6+</sup><sub>2</sub>O<sub>6</sub>(Te<sup>4+</sup>O<sub>3</sub>)<sub>6</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>2</sub>(SO<sub>4</sub>)<sub>2</sub>·3H<sub>2</sub>O","Ca Pb Cu Te O Se S H","2021","Approved,Pending publication","Not in a structural group"," ","hexagonal","P321","Tbs","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tomichite","Tomichite","V<sup>3+</sup><sub>4</sub>Ti<sup>4+</sup><sub>3</sub>As<sup>3+</sup>O<sub>13</sub>(OH)","V Ti As O H","1978","Approved"," ","derbylite","monoclinic","A2/m|P2_1/m","Tom","Abiotic, Biotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Tomiolloite","Tomiolloite","Al<sub>12</sub>(Te<sup>4+</sup>O<sub>3</sub>)<sub>5</sub>[(SO<sub>3</sub>)<sub>0.5</sub>(SO<sub>4</sub>)<sub>0.5</sub>](OH)<sub>24</sub>","Al Te O S H","2021","Approved,Pending publication","Not in a structural group"," ","hexagonal","P6_3/m","","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
